bgg_id,theme
1644,"Movies / TV / Radio theme, Sports"
1645,"American Indian Wars, Napoleonic"
1649,Science Fiction
1650,"Adventure, Fantasy, Movies / TV / Radio theme, Novel-based"
1651,"Economic, Political, Theme_Climate Chang"
1654,"Economic, Trains"
1656,Humor
1657,"Economic, Science Fiction, Political"
1660,"Economic, American West"
1662,Napoleonic
1663,"Fantasy, Medieval, Murder/Mystery"
1665,"Economic, Transportation, Aviation / Flight"
1666,World War II
1668,"Modern Warfare, Nautical"
1669,"Civil War, Post-Napoleonic, American Civil War"
1672,"Adventure, World War II"
1673,Sports
1674,"Nautical, World War II, Theme_Submarines"
1678,Ancient
1679,"Science Fiction, Nautical, Aviation / Flight, World War II, Theme_Alternate History"
1681,"Nautical, World War II"
1682,"Fantasy, Fighting, Medieval"
1684,Medical
1686,"Fighting, Comic Book / Strip, Maze"
1687,"Humor, Political"
1688,"Fighting, Science Fiction"
1690,"Economic, Animals, Humor, Theme_Anthropomorphic Animals"
1691,Murder/Mystery
1692,Animals
1693,"Fighting, Economic, Ancient, Theme_Gladiators"
1694,American Civil War
1695,"Economic, Medieval, Theme_Chivalry / Jousting / Tournaments (Medieval Europe)"
1697,Napoleonic
1698,"Fighting, Science Fiction, Comic Book / Strip, Theme_Superheroes"
1699,"Adventure, Fighting, Economic, Transportation, Science Fiction"
1700,"Science Fiction, Theme_Weather"
1701,"Medieval, City Building"
1703,"Nautical, Theme_Tropical"
1705,"Sports, Theme_Fantasy Sports"
1706,"Science Fiction, Theme_UFOs"
1707,"Economic, Theme_Food / Cooking"
1708,"Economic, Science Fiction, Space Exploration"
1709,"Ancient, Nautical"
1710,"Ancient, Theme_Sieg"
